"method","n_states","n_t","time","memory"
"cohort trace","2","12","0","1552"
"cohort trace","2","24","0","1936"
"cohort trace","2","36","0","2320"
"cohort trace","2","48","0","2704"
"cohort trace","2","60","0","3088"
"cohort trace","2","72","0","3472"
"cohort trace","2","84","0","3856"
"cohort trace","2","96","0","4240"
"cohort trace","2","108","0","4624"
"cohort trace","2","120","0","5008"
"cohort trace","2","132","0","5392"
"cohort trace","2","144","0","5776"
"cohort trace","2","156","0","6160"
"cohort trace","2","168","0","6544"
"cohort trace","2","180","0","6928"
"cohort trace","2","192","0","7312"
"cohort trace","2","204","0","7696"
"cohort trace","2","216","0","8080"
"cohort trace","2","228","0","8464"
"cohort trace","2","240","0","8848"
"cohort trace","2","252","0","9232"
"cohort trace","2","264","0","9616"
"cohort trace","2","276","0","10000"
"cohort trace","2","288","0.0200000000000102","10384"
"cohort trace","2","300","0","10768"
"cohort trace","2","312","0","11152"
"cohort trace","2","324","0","11536"
"cohort trace","2","336","0","11920"
"cohort trace","2","348","0","12304"
"cohort trace","2","360","0","12688"
"cohort trace","2","372","0.00999999999999091","13072"
"cohort trace","2","384","0","13456"
"cohort trace","2","396","0","13840"
"cohort trace","2","408","0","14224"
"cohort trace","2","420","0","14608"
"cohort trace","2","432","0","14992"
"cohort trace","2","444","0","15376"
"cohort trace","2","456","0","15760"
"cohort trace","2","468","0","16144"
"cohort trace","2","480","0","16528"
"cohort trace","2","492","0","16912"
"cohort trace","2","504","0","17296"
"cohort trace","2","516","0","17680"
"cohort trace","2","528","0","18064"
"cohort trace","2","540","0","18448"
"cohort trace","2","552","0","18832"
"cohort trace","2","564","0","19216"
"cohort trace","2","576","0","19600"
"cohort trace","2","588","0","19984"
"cohort trace","2","600","0","20368"
"cohort trace","2","612","0","20752"
"cohort trace","2","624","0","21136"
"cohort trace","2","636","0","21520"
"cohort trace","2","648","0","21904"
"cohort trace","2","660","0","22288"
"cohort trace","2","672","0.0199999999999818","22672"
"cohort trace","2","684","0","23056"
"cohort trace","2","696","0","23440"
"cohort trace","2","708","0","23824"
"cohort trace","2","720","0","24208"
"cohort trace","2","732","0","24592"
"cohort trace","2","744","0","24976"
"cohort trace","2","756","0","25360"
"cohort trace","2","768","0","25744"
"cohort trace","2","780","0","26128"
"cohort trace","2","792","0","26512"
"cohort trace","2","804","0","26896"
"cohort trace","2","816","0","27280"
"cohort trace","2","828","0","27664"
"cohort trace","2","840","0","28048"
"cohort trace","2","852","0","28432"
"cohort trace","2","864","0","28816"
"cohort trace","2","876","0","29200"
"cohort trace","2","888","0","29584"
"cohort trace","2","900","0","29968"
"cohort trace","2","912","0","30352"
"cohort trace","2","924","0","30736"
"cohort trace","2","936","0","31120"
"cohort trace","2","948","0","31504"
"cohort trace","2","960","0","31888"
"cohort trace","2","972","0","32272"
"cohort trace","2","984","0","32656"
"cohort trace","2","996","0","33040"
"cohort trace","2","1008","0","33424"
"cohort trace","2","1020","0","33808"
"cohort trace","2","1032","0","34192"
"cohort trace","2","1044","0","34576"
"cohort trace","2","1056","0","34960"
"cohort trace","2","1068","0","35344"
"cohort trace","2","1080","0.0200000000000102","35728"
"cohort trace","2","1092","0","36112"
"cohort trace","2","1104","0","36496"
"cohort trace","2","1116","0","36880"
"cohort trace","2","1128","0","37264"
"cohort trace","2","1140","0.0200000000000102","37648"
"cohort trace","2","1152","0","38032"
"cohort trace","2","1164","0","38416"
"cohort trace","2","1176","0","38800"
"cohort trace","2","1188","0","39184"
"cohort trace","2","1200","0","39568"
"cohort trace","2","1212","0","39952"
"cohort trace","2","1224","0","40336"
"cohort trace","2","1236","0","40720"
"cohort trace","2","1248","0","41104"
"cohort trace","2","1260","0","41488"
"cohort trace","2","1272","0.0199999999999818","41872"
"cohort trace","2","1284","0","42256"
"cohort trace","2","1296","0.0200000000000102","42640"
"cohort trace","2","1308","0","43024"
"cohort trace","2","1320","0","43408"
"cohort trace","7","12","0.0199999999999818","26032"
"cohort trace","7","24","0","30736"
"cohort trace","7","36","0","35440"
"cohort trace","7","48","0","40144"
"cohort trace","7","60","0.00999999999999091","44848"
"cohort trace","7","72","0","49552"
"cohort trace","7","84","0.0200000000000102","54256"
"cohort trace","7","96","0","58960"
"cohort trace","7","108","0.0199999999999818","63664"
"cohort trace","7","120","0","68368"
"cohort trace","7","132","0","73072"
"cohort trace","7","144","0","77776"
"cohort trace","7","156","0","82480"
"cohort trace","7","168","0","87184"
"cohort trace","7","180","0","91888"
"cohort trace","7","192","0","96592"
"cohort trace","7","204","0.0200000000000102","101296"
"cohort trace","7","216","0","106000"
"cohort trace","7","228","0","110704"
"cohort trace","7","240","0.0100000000000193","115408"
"cohort trace","7","252","0.0199999999999818","120112"
"cohort trace","7","264","0","124816"
"cohort trace","7","276","0","129520"
"cohort trace","7","288","0","134224"
"cohort trace","7","300","0.0100000000000193","138928"
"cohort trace","7","312","0.0199999999999818","143632"
"cohort trace","7","324","0","148336"
"cohort trace","7","336","0","153040"
"cohort trace","7","348","0","157744"
"cohort trace","7","360","0","162448"
"cohort trace","7","372","0","167152"
"cohort trace","7","384","0.0100000000000193","171856"
"cohort trace","7","396","0.00999999999999091","176560"
"cohort trace","7","408","0.0200000000000102","181264"
"cohort trace","7","420","0","185968"
"cohort trace","7","432","0","190672"
"cohort trace","7","444","0","195376"
"cohort trace","7","456","0.00999999999999091","200080"
"cohort trace","7","468","0.0200000000000102","204784"
"cohort trace","7","480","0","209488"
"cohort trace","7","492","0","214192"
"cohort trace","7","504","0","218896"
"cohort trace","7","516","0","223600"
"cohort trace","7","528","0","228304"
"cohort trace","7","540","0","233008"
"cohort trace","7","552","0","237712"
"cohort trace","7","564","0","242416"
"cohort trace","7","576","0","247120"
"cohort trace","7","588","0.00999999999999091","251824"
"cohort trace","7","600","0","256528"
"cohort trace","7","612","0","261232"
"cohort trace","7","624","0","265936"
"cohort trace","7","636","0","270640"
"cohort trace","7","648","0.00999999999999091","275344"
"cohort trace","7","660","0.0200000000000102","280048"
"cohort trace","7","672","0.0199999999999818","284752"
"cohort trace","7","684","0.0100000000000193","289456"
"cohort trace","7","696","0.0199999999999818","294160"
"cohort trace","7","708","0.0200000000000102","298864"
"cohort trace","7","720","0","303568"
"cohort trace","7","732","0","308272"
"cohort trace","7","744","0","312976"
"cohort trace","7","756","0","317680"
"cohort trace","7","768","0.0200000000000102","322384"
"cohort trace","7","780","0.0200000000000102","327088"
"cohort trace","7","792","0.0100000000000193","331792"
"cohort trace","7","804","0.0199999999999818","336496"
"cohort trace","7","816","0.00999999999999091","341200"
"cohort trace","7","828","0.00999999999999091","345904"
"cohort trace","7","840","0.0199999999999818","350608"
"cohort trace","7","852","0","355312"
"cohort trace","7","864","0.0200000000000102","360016"
"cohort trace","7","876","0.00999999999999091","364720"
"cohort trace","7","888","0","369424"
"cohort trace","7","900","0.0100000000000193","374128"
"cohort trace","7","912","0.0199999999999818","378832"
"cohort trace","7","924","0","383536"
"cohort trace","7","936","0.0200000000000102","388240"
"cohort trace","7","948","0.0200000000000102","392944"
"cohort trace","7","960","0.0100000000000193","397648"
"cohort trace","7","972","0.0200000000000102","402352"
"cohort trace","7","984","0.0200000000000102","407056"
"cohort trace","7","996","0.0200000000000102","411760"
"cohort trace","7","1008","0.0100000000000193","416464"
"cohort trace","7","1020","0","421168"
"cohort trace","7","1032","0.0200000000000102","425872"
"cohort trace","7","1044","0.0200000000000102","430576"
"cohort trace","7","1056","0","435280"
"cohort trace","7","1068","0.0199999999999818","439984"
"cohort trace","7","1080","0.00999999999999091","444688"
"cohort trace","7","1092","0.0200000000000102","449392"
"cohort trace","7","1104","0","454096"
"cohort trace","7","1116","0.0199999999999818","458800"
"cohort trace","7","1128","0.00999999999999091","463504"
"cohort trace","7","1140","0.00999999999999091","468208"
"cohort trace","7","1152","0","472912"
"cohort trace","7","1164","0.0100000000000193","477616"
"cohort trace","7","1176","0.0200000000000102","482320"
"cohort trace","7","1188","0","487024"
"cohort trace","7","1200","0.00999999999999091","491728"
"cohort trace","7","1212","0","496432"
"cohort trace","7","1224","0.0100000000000193","501136"
"cohort trace","7","1236","0","505840"
"cohort trace","7","1248","0.00999999999999091","510544"
"cohort trace","7","1260","0","515248"
"cohort trace","7","1272","0.0100000000000193","519952"
"cohort trace","7","1284","0","524656"
"cohort trace","7","1296","0.00999999999999091","529360"
"cohort trace","7","1308","0.00999999999999091","534064"
"cohort trace","7","1320","0.0199999999999818","538768"
"cohort trace","12","12","0","184112"
"cohort trace","12","24","0.0200000000000102","197936"
"cohort trace","12","36","0.0200000000000102","211760"
"cohort trace","12","48","0","225584"
"cohort trace","12","60","0.0199999999999818","239408"
"cohort trace","12","72","0","253232"
"cohort trace","12","84","0.0200000000000102","267056"
"cohort trace","12","96","0.0100000000000193","280880"
"cohort trace","12","108","0.0100000000000193","294704"
"cohort trace","12","120","0.0200000000000102","308528"
"cohort trace","12","132","0.00999999999999091","322352"
"cohort trace","12","144","0.0199999999999818","336176"
"cohort trace","12","156","0.0200000000000102","350000"
"cohort trace","12","168","0.00999999999999091","363824"
"cohort trace","12","180","0.0400000000000205","377648"
"cohort trace","12","192","0.0200000000000102","391472"
"cohort trace","12","204","0.00999999999999091","405296"
"cohort trace","12","216","0.0100000000000193","419120"
"cohort trace","12","228","0.00999999999999091","432944"
"cohort trace","12","240","0.0200000000000102","446768"
"cohort trace","12","252","0.0199999999999818","460592"
"cohort trace","12","264","0.039999999999992","474416"
"cohort trace","12","276","0.00999999999999091","488240"
"cohort trace","12","288","0.0300000000000011","502064"
"cohort trace","12","300","0.0300000000000011","515888"
"cohort trace","12","312","0.039999999999992","529712"
"cohort trace","12","324","0.0300000000000011","543536"
"cohort trace","12","336","0.0300000000000011","557360"
"cohort trace","12","348","0.0300000000000011","571184"
"cohort trace","12","360","0.0300000000000011","585008"
"cohort trace","12","372","0.0300000000000011","598832"
"cohort trace","12","384","0.0499999999999829","612656"
"cohort trace","12","396","0.0500000000000114","626480"
"cohort trace","12","408","0.0300000000000011","640304"
"cohort trace","12","420","0.0300000000000011","654128"
"cohort trace","12","432","0.0499999999999829","667952"
"cohort trace","12","444","0.0300000000000011","681776"
"cohort trace","12","456","0.0300000000000011","695600"
"cohort trace","12","468","0.0300000000000011","709424"
"cohort trace","12","480","0.0300000000000011","723248"
"cohort trace","12","492","0.039999999999992","737072"
"cohort trace","12","504","0.039999999999992","750896"
"cohort trace","12","516","0.0300000000000011","764720"
"cohort trace","12","528","0.0300000000000011","778544"
"cohort trace","12","540","0.0500000000000114","792368"
"cohort trace","12","552","0.0500000000000114","806192"
"cohort trace","12","564","0.0300000000000011","820016"
"cohort trace","12","576","0.0300000000000011","833840"
"cohort trace","12","588","0.0300000000000011","847664"
"cohort trace","12","600","0.0499999999999829","861488"
"cohort trace","12","612","0.039999999999992","875312"
"cohort trace","12","624","0.0499999999999829","889136"
"cohort trace","12","636","0.0500000000000114","902960"
"cohort trace","12","648","0.0300000000000011","916784"
"cohort trace","12","660","0.0300000000000011","930608"
"cohort trace","12","672","0.0500000000000114","944432"
"cohort trace","12","684","0.0499999999999829","958256"
"cohort trace","12","696","0.0300000000000011","972080"
"cohort trace","12","708","0.0499999999999829","985904"
"cohort trace","12","720","0.0300000000000011","999728"
"cohort trace","12","732","0.0400000000000205","1013552"
"cohort trace","12","744","0.0500000000000114","1027376"
"cohort trace","12","756","0.0400000000000205","1041200"
"cohort trace","12","768","0.0500000000000114","1055024"
"cohort trace","12","780","0.0400000000000205","1068848"
"cohort trace","12","792","0.039999999999992","1082672"
"cohort trace","12","804","0.0500000000000114","1096496"
"cohort trace","12","816","0.0500000000000114","1110320"
"cohort trace","12","828","0.0499999999999829","1124144"
"cohort trace","12","840","0.0600000000000023","1137968"
"cohort trace","12","852","0.0600000000000023","1151792"
"cohort trace","12","864","0.0499999999999829","1165616"
"cohort trace","12","876","0.0500000000000114","1179440"
"cohort trace","12","888","0.0499999999999829","1193264"
"cohort trace","12","900","0.0499999999999829","1207088"
"cohort trace","12","912","0.0500000000000114","1220912"
"cohort trace","12","924","0.0699999999999932","1234736"
"cohort trace","12","936","0.0600000000000023","1248560"
"cohort trace","12","948","0.0499999999999829","1262384"
"cohort trace","12","960","0.039999999999992","1276208"
"cohort trace","12","972","0.0600000000000023","1290032"
"cohort trace","12","984","0.0500000000000114","1303856"
"cohort trace","12","996","0.0600000000000023","1317680"
"cohort trace","12","1008","0.0499999999999829","1331504"
"cohort trace","12","1020","0.0600000000000023","1345328"
"cohort trace","12","1032","0.0600000000000023","1359152"
"cohort trace","12","1044","0.0699999999999932","1372976"
"cohort trace","12","1056","0.0600000000000023","1386800"
"cohort trace","12","1068","0.0600000000000023","1400624"
"cohort trace","12","1080","0.0600000000000023","1414448"
"cohort trace","12","1092","0.0699999999999932","1428272"
"cohort trace","12","1104","0.0600000000000023","1442096"
"cohort trace","12","1116","0.0800000000000125","1455920"
"cohort trace","12","1128","0.0600000000000023","1469744"
"cohort trace","12","1140","0.0600000000000023","1483568"
"cohort trace","12","1152","0.0600000000000023","1497392"
"cohort trace","12","1164","0.0600000000000023","1511216"
"cohort trace","12","1176","0.0600000000000023","1525040"
"cohort trace","12","1188","0.0799999999999841","1538864"
"cohort trace","12","1200","0.0699999999999932","1552688"
"cohort trace","12","1212","0.0800000000000125","1566512"
"cohort trace","12","1224","0.0799999999999841","1580336"
"cohort trace","12","1236","0.0800000000000125","1594160"
"cohort trace","12","1248","0.0600000000000023","1607984"
"cohort trace","12","1260","0.0800000000000125","1621808"
"cohort trace","12","1272","0.0700000000000216","1635632"
"cohort trace","12","1284","0.0699999999999932","1649456"
"cohort trace","12","1296","0.0699999999999932","1663280"
"cohort trace","12","1308","0.0800000000000125","1677104"
"cohort trace","12","1320","0.0600000000000023","1690928"
"cohort trace","17","12","0.00999999999999091","703792"
"cohort trace","17","24","0.0300000000000011","731536"
"cohort trace","17","36","0.039999999999992","759280"
"cohort trace","17","48","0.0300000000000011","787024"
"cohort trace","17","60","0.0300000000000011","814768"
"cohort trace","17","72","0.0300000000000011","842512"
"cohort trace","17","84","0.0499999999999829","870256"
"cohort trace","17","96","0.0300000000000011","898000"
"cohort trace","17","108","0.0300000000000011","925744"
"cohort trace","17","120","0.039999999999992","953488"
"cohort trace","17","132","0.0499999999999829","981232"
"cohort trace","17","144","0.0500000000000114","1008976"
"cohort trace","17","156","0.0499999999999829","1036720"
"cohort trace","17","168","0.0600000000000023","1064464"
"cohort trace","17","180","0.0600000000000023","1092208"
"cohort trace","17","192","0.0600000000000023","1119952"
"cohort trace","17","204","0.0600000000000023","1147696"
"cohort trace","17","216","0.0600000000000023","1175440"
"cohort trace","17","228","0.0600000000000023","1203184"
"cohort trace","17","240","0.0600000000000023","1230928"
"cohort trace","17","252","0.0600000000000023","1258672"
"cohort trace","17","264","0.0800000000000125","1286416"
"cohort trace","17","276","0.0699999999999932","1314160"
"cohort trace","17","288","0.0800000000000125","1341904"
"cohort trace","17","300","0.0700000000000216","1369648"
"cohort trace","17","312","0.0800000000000125","1397392"
"cohort trace","17","324","0.0699999999999932","1425136"
"cohort trace","17","336","0.0999999999999943","1452880"
"cohort trace","17","348","0.0900000000000034","1480624"
"cohort trace","17","360","0.0900000000000034","1508368"
"cohort trace","17","372","0.0999999999999943","1536112"
"cohort trace","17","384","0.0999999999999943","1563856"
"cohort trace","17","396","0.0900000000000034","1591600"
"cohort trace","17","408","0.110000000000014","1619344"
"cohort trace","17","420","0.109999999999985","1647088"
"cohort trace","17","432","0.110000000000014","1674832"
"cohort trace","17","444","0.109999999999985","1702576"
"cohort trace","17","456","0.110000000000014","1730320"
"cohort trace","17","468","0.109999999999985","1758064"
"cohort trace","17","480","0.120000000000005","1785808"
"cohort trace","17","492","0.110000000000014","1813552"
"cohort trace","17","504","0.110000000000014","1841296"
"cohort trace","17","516","0.120000000000005","1869040"
"cohort trace","17","528","0.109999999999985","1896784"
"cohort trace","17","540","0.139999999999986","1924528"
"cohort trace","17","552","0.110000000000014","1952272"
"cohort trace","17","564","0.120000000000005","1980016"
"cohort trace","17","576","0.120000000000005","2007760"
"cohort trace","17","588","0.129999999999995","2035504"
"cohort trace","17","600","0.139999999999986","2063248"
"cohort trace","17","612","0.139999999999986","2090992"
"cohort trace","17","624","0.120000000000005","2118736"
"cohort trace","17","636","0.140000000000015","2146480"
"cohort trace","17","648","0.150000000000006","2174224"
"cohort trace","17","660","0.139999999999986","2201968"
"cohort trace","17","672","0.140000000000015","2229712"
"cohort trace","17","684","0.140000000000015","2257456"
"cohort trace","17","696","0.140000000000015","2285200"
"cohort trace","17","708","0.139999999999986","2312944"
"cohort trace","17","720","0.159999999999997","2340688"
"cohort trace","17","732","0.150000000000006","2368432"
"cohort trace","17","744","0.159999999999997","2396176"
"cohort trace","17","756","0.159999999999997","2423920"
"cohort trace","17","768","0.179999999999978","2451664"
"cohort trace","17","780","0.159999999999997","2479408"
"cohort trace","17","792","0.170000000000016","2507152"
"cohort trace","17","804","0.180000000000007","2534896"
"cohort trace","17","816","0.169999999999987","2562640"
"cohort trace","17","828","0.169999999999987","2590384"
"cohort trace","17","840","0.170000000000016","2618128"
"cohort trace","17","852","0.189999999999998","2645872"
"cohort trace","17","864","0.170000000000016","2673616"
"cohort trace","17","876","0.189999999999998","2701360"
"cohort trace","17","888","0.189999999999998","2729104"
"cohort trace","17","900","0.189999999999998","2756848"
"cohort trace","17","912","0.180000000000007","2784592"
"cohort trace","17","924","0.210000000000008","2812336"
"cohort trace","17","936","0.200000000000017","2840080"
"cohort trace","17","948","0.189999999999998","2867824"
"cohort trace","17","960","0.180000000000007","2895568"
"cohort trace","17","972","0.199999999999989","2923312"
"cohort trace","17","984","0.200000000000017","2951056"
"cohort trace","17","996","0.180000000000007","2978800"
"cohort trace","17","1008","0.210000000000008","3006544"
"cohort trace","17","1020","0.219999999999999","3034288"
"cohort trace","17","1032","0.200000000000017","3062032"
"cohort trace","17","1044","0.219999999999999","3089776"
"cohort trace","17","1056","0.210000000000008","3117520"
"cohort trace","17","1068","0.219999999999999","3145264"
"cohort trace","17","1080","0.240000000000009","3173008"
"cohort trace","17","1092","0.219999999999999","3200752"
"cohort trace","17","1104","0.219999999999999","3228496"
"cohort trace","17","1116","0.22999999999999","3256240"
"cohort trace","17","1128","0.219999999999999","3283984"
"cohort trace","17","1140","0.240000000000009","3311728"
"cohort trace","17","1152","0.219999999999999","3339472"
"cohort trace","17","1164","0.22999999999999","3367216"
"cohort trace","17","1176","0.25","3394960"
"cohort trace","17","1188","0.240000000000009","3422704"
"cohort trace","17","1200","0.25","3450448"
"cohort trace","17","1212","0.25","3478192"
"cohort trace","17","1224","0.25","3505936"
"cohort trace","17","1236","0.260000000000019","3533680"
"cohort trace","17","1248","0.22999999999999","3561424"
"cohort trace","17","1260","0.25","3589168"
"cohort trace","17","1272","0.280000000000001","3616912"
"cohort trace","17","1284","0.260000000000019","3644656"
"cohort trace","17","1296","0.25","3672400"
"cohort trace","17","1308","0.27000000000001","3700144"
"cohort trace","17","1320","0.280000000000001","3727888"
"cohort trace","22","12","0.0400000000000205","1933072"
"cohort trace","22","24","0.0600000000000023","1979536"
"cohort trace","22","36","0.0699999999999932","2026000"
"cohort trace","22","48","0.0799999999999841","2072464"
"cohort trace","22","60","0.0800000000000125","2118928"
"cohort trace","22","72","0.0800000000000125","2165392"
"cohort trace","22","84","0.0900000000000034","2211856"
"cohort trace","22","96","0.0900000000000034","2258320"
"cohort trace","22","108","0.110000000000014","2304784"
"cohort trace","22","120","0.129999999999995","2351248"
"cohort trace","22","132","0.120000000000005","2397712"
"cohort trace","22","144","0.150000000000006","2444176"
"cohort trace","22","156","0.120000000000005","2490640"
"cohort trace","22","168","0.139999999999986","2537104"
"cohort trace","22","180","0.139999999999986","2583568"
"cohort trace","22","192","0.139999999999986","2630032"
"cohort trace","22","204","0.170000000000016","2676496"
"cohort trace","22","216","0.150000000000006","2722960"
"cohort trace","22","228","0.159999999999997","2769424"
"cohort trace","22","240","0.150000000000006","2815888"
"cohort trace","22","252","0.180000000000007","2862352"
"cohort trace","22","264","0.189999999999998","2908816"
"cohort trace","22","276","0.219999999999999","2955280"
"cohort trace","22","288","0.20999999999998","3001744"
"cohort trace","22","300","0.260000000000019","3048208"
"cohort trace","22","312","0.269999999999982","3094672"
"cohort trace","22","324","0.210000000000008","3141136"
"cohort trace","22","336","0.230000000000018","3187600"
"cohort trace","22","348","0.230000000000018","3234064"
"cohort trace","22","360","0.21999999999997","3280528"
"cohort trace","22","372","0.21999999999997","3326992"
"cohort trace","22","384","0.240000000000009","3373456"
"cohort trace","22","396","0.240000000000009","3419920"
"cohort trace","22","408","0.25","3466384"
"cohort trace","22","420","0.25","3512848"
"cohort trace","22","432","0.269999999999982","3559312"
"cohort trace","22","444","0.25","3605776"
