"method","n_states","n_t","time","memory"
"cohort trace",2,12,0.00100000000000477,1552
"cohort trace",2,24,0,1936
"cohort trace",2,36,0,2320
"cohort trace",2,48,0,2704
"cohort trace",2,60,0,3088
"cohort trace",2,72,0.00199999999967986,3472
"cohort trace",2,84,0,3856
"cohort trace",2,96,0,4240
"cohort trace",2,108,0,4624
"cohort trace",2,120,0,5008
"cohort trace",2,132,0,5392
"cohort trace",2,144,0,5776
"cohort trace",2,156,0.00200000000040745,6160
"cohort trace",2,168,0,6544
"cohort trace",2,180,0,6928
"cohort trace",2,192,0,7312
"cohort trace",2,204,0.000999999999999091,7696
"cohort trace",2,216,0.00100000000093132,8080
"cohort trace",2,228,0,8464
"cohort trace",2,240,0.00100000000093132,8848
"cohort trace",2,252,0,9232
"cohort trace",2,264,0.00199999999967986,9616
"cohort trace",2,276,0.00199999999895226,10000
"cohort trace",2,288,0,10384
"cohort trace",2,300,0,10768
"cohort trace",2,312,0.00200000000040745,11152
"cohort trace",2,324,0,11536
"cohort trace",2,336,0,11920
"cohort trace",2,348,0.00200000000020282,12304
"cohort trace",2,360,0,12688
"cohort trace",2,372,0,13072
"cohort trace",2,384,0,13456
"cohort trace",2,396,0,13840
"cohort trace",2,408,0.00200000000004366,14224
"cohort trace",2,420,0.00199999999895226,14608
"cohort trace",2,432,0,14992
"cohort trace",2,444,0,15376
"cohort trace",2,456,0.00199999999967986,15760
"cohort trace",2,468,0.00100000000020373,16144
"cohort trace",2,480,0.00299999999988358,16528
"cohort trace",2,492,0,16912
"cohort trace",2,504,0.00100000000020373,17296
"cohort trace",2,516,0.00200000000077125,17680
"cohort trace",2,528,0,18064
"cohort trace",2,540,0,18448
"cohort trace",2,552,0,18832
"cohort trace",2,564,0.00200000000040745,19216
"cohort trace",2,576,0.00099999999802094,19600
"cohort trace",2,588,0.00399999999935971,19984
"cohort trace",2,600,0,20368
"cohort trace",2,612,0.00200000000040746,20752
"cohort trace",2,624,0,21136
"cohort trace",2,636,0.00199999999999818,21520
"cohort trace",2,648,0.000999999999476131,21904
"cohort trace",2,660,0,22288
"cohort trace",2,672,0,22672
"cohort trace",2,684,0,23056
"cohort trace",2,696,0,23440
"cohort trace",2,708,0,23824
"cohort trace",2,720,0,24208
"cohort trace",2,732,0.000999999999839929,24592
"cohort trace",2,744,0.00200000000004366,24976
"cohort trace",2,756,0.00099999999802094,25360
"cohort trace",2,768,0,25744
"cohort trace",2,780,0.00099999999802094,26128
"cohort trace",2,792,0.000999999999476131,26512
"cohort trace",2,804,0.00200000000040745,26896
"cohort trace",2,816,0.00100000000020373,27280
"cohort trace",2,828,0,27664
"cohort trace",2,840,0,28048
"cohort trace",2,852,0.00200000000186265,28432
"cohort trace",2,864,0,28816
"cohort trace",2,876,0.00100000000093132,29200
"cohort trace",2,888,0.00300000000097498,29584
"cohort trace",2,900,0.00200000000040745,29968
"cohort trace",2,912,0,30352
"cohort trace",2,924,0.00200000000093041,30736
"cohort trace",2,936,0,31120
"cohort trace",2,948,0.00299999999879219,31504
"cohort trace",2,960,0.00199999999967986,31888
"cohort trace",2,972,0.00399999999972352,32272
"cohort trace",2,984,0,32656
"cohort trace",2,996,0.00399999999863212,33040
"cohort trace",2,1008,0.00499999999810825,33424
"cohort trace",2,1020,0.00199999999895226,33808
"cohort trace",2,1032,0.00299999999915599,34192
"cohort trace",2,1044,0,34576
"cohort trace",2,1056,0,34960
"cohort trace",2,1068,0.00099999999802094,35344
"cohort trace",2,1080,0,35728
"cohort trace",2,1092,0.00200000000040745,36112
"cohort trace",2,1104,0.00400000000008731,36496
"cohort trace",2,1116,0.00199999999895226,36880
"cohort trace",2,1128,0,37264
"cohort trace",2,1140,0.00599999999936359,37648
"cohort trace",2,1152,0.00200000000040745,38032
"cohort trace",2,1164,0.00200000000040745,38416
"cohort trace",2,1176,0.00200000000113505,38800
"cohort trace",2,1188,0,39184
"cohort trace",2,1200,0.00400000000045111,39568
"cohort trace",2,1212,0.00200000000004366,39952
"cohort trace",2,1224,0.000999999999839929,40336
"cohort trace",2,1236,0.00500000000133695,40720
"cohort trace",2,1248,0.00199999999999818,41104
"cohort trace",2,1260,0,41488
"cohort trace",2,1272,0.00100000000020373,41872
"cohort trace",2,1284,0.00100000000093132,42256
"cohort trace",2,1296,0.00399999999899592,42640
"cohort trace",2,1308,0.00199999999967986,43024
"cohort trace",2,1320,0.00400000000045111,43408
"cohort trace",7,12,0.00300000000061119,26032
"cohort trace",7,24,0.00199999999967986,30736
"cohort trace",7,36,0.00699999999737884,35440
"cohort trace",7,48,0.00599999999831197,40144
"cohort trace",7,60,0.00399999999895044,44848
"cohort trace",7,72,0.00399999999972351,49552
"cohort trace",7,84,0.00400000000045111,54256
"cohort trace",7,96,0.0069999999996071,58960
"cohort trace",7,108,0.00299999999951979,63664
"cohort trace",7,120,0.00300000000061118,68368
"cohort trace",7,132,0.00200000000040745,73072
"cohort trace",7,144,0.00199999999895226,77776
"cohort trace",7,156,0.00299999999988358,82480
"cohort trace",7,168,0.00400000000154251,87184
"cohort trace",7,180,0.00499999999810825,91888
"cohort trace",7,192,0.0110000000044238,96592
"cohort trace",7,204,0.00200000000040745,101296
"cohort trace",7,216,0.00300000000061118,106000
"cohort trace",7,228,0.00499999999915417,110704
"cohort trace",7,240,0.00499999999988176,115408
"cohort trace",7,252,0.00200000000040745,120112
"cohort trace",7,264,0.00399999999899592,124816
"cohort trace",7,276,0.000999999999476131,129520
"cohort trace",7,288,0.00500000000191107,134224
"cohort trace",7,300,0.00399999999967804,138928
"cohort trace",7,312,0.00299999999988359,143632
"cohort trace",7,324,0.00700000000033469,148336
"cohort trace",7,336,0.00400000000008731,153040
"cohort trace",7,348,0.00300000000024738,157744
"cohort trace",7,360,0.010000000001628,162448
"cohort trace",7,372,0.00999999999985448,167152
"cohort trace",7,384,0.00800000000017462,171856
"cohort trace",7,396,0.00199999999967986,176560
"cohort trace",7,408,0.00300000000024738,181264
"cohort trace",7,420,0.00300000000024738,185968
"cohort trace",7,432,0.00499999999956344,190672
"cohort trace",7,444,0.00700000000049954,195376
"cohort trace",7,456,0.00299999999988359,200080
"cohort trace",7,468,0.00899999999960528,204784
"cohort trace",7,480,0.00900000000074215,209488
"cohort trace",7,492,0.00400000000040563,214192
"cohort trace",7,504,0.0130000000004202,218896
"cohort trace",7,516,0.00300000000170257,223600
"cohort trace",7,528,0.00500000000154159,228304
"cohort trace",7,540,0.00799999999617285,233008
"cohort trace",7,552,0.00400000000045111,237712
"cohort trace",7,564,0.00500000000138243,242416
"cohort trace",7,576,0.00700000000106229,247120
"cohort trace",7,588,0.00399999999899592,251824
"cohort trace",7,600,0.00299999999895135,256528
"cohort trace",7,612,0.00800000000199361,261232
"cohort trace",7,624,0.00700000000106229,265936
"cohort trace",7,636,0.00500000000097316,270640
